2020-05-08 14:28:18 status half-installed libc-bin:armhf 2.24-11+deb9u4
2020-05-08 14:28:18 status unpacked libc-bin:armhf 2.24-11+deb9u4
2020-05-08 14:28:18 status unpacked libc-bin:armhf 2.24-11+deb9u4
2020-05-08 14:28:18 upgrade libc6:armhf 2.24-11+deb9u4 2.24-11+deb9u4
2020-05-08 14:28:18 status half-configured libc6:armhf 2.24-11+deb9u4
2020-05-08 14:28:18 status unpacked libc6:armhf 2.24-11+deb9u4
2020-05-08 14:28:18 status half-installed libc6:armhf 2.24-11+deb9u4
2020-05-08 14:28:21 status half-installed libc6:armhf 2.24-11+deb9u4
2020-05-08 14:28:21 status unpacked libc6:armhf 2.24-11+deb9u4
2020-05-08 14:28:21 status unpacked libc6:armhf 2.24-11+deb9u4
2020-05-08 14:28:22 install multiarch-support:armhf <none> 2.24-11+deb9u4
2020-05-08 14:28:22 status half-installed multiarch-support:armhf 2.24-11+deb9u4
2020-05-08 14:28:22 status unpacked multiarch-support:armhf 2.24-11+deb9u4
2020-05-08 14:28:22 status unpacked multiarch-support:armhf 2.24-11+deb9u4
2020-05-08 14:28:22 install grep:armhf <none> 2.27-2
2020-05-08 14:28:22 status half-installed grep:armhf 2.27-2
2020-05-08 14:28:22 status unpacked grep:armhf 2.27-2
2020-05-08 14:28:22 status unpacked grep:armhf 2.27-2
2020-05-08 14:28:22 install gzip:armhf <none> 1.6-5+b1
2020-05-08 14:28:22 status half-installed gzip:armhf 1.6-5+b1
2020-05-08 14:28:22 status unpacked gzip:armhf 1.6-5+b1
2020-05-08 14:28:22 status unpacked gzip:armhf 1.6-5+b1
2020-05-08 14:28:22 install hostname:armhf <none> 3.18+b1
2020-05-08 14:28:22 status half-installed hostname:armhf 3.18+b1
2020-05-08 14:28:22 status unpacked hostname:armhf 3.18+b1
2020-05-08 14:28:22 status unpacked hostname:armhf 3.18+b1
2020-05-08 14:28:23 install init-system-helpers:all <none> 1.48
2020-05-08 14:28:23 status half-installed init-system-helpers:all 1.48
2020-05-08 14:28:23 status unpacked init-system-helpers:all 1.48
2020-05-08 14:28:23 status unpacked init-system-helpers:all 1.48
2020-05-08 14:28:23 install libcap-ng0:armhf <none> 0.7.7-3+b1
2020-05-08 14:28:23 status half-installed libcap-ng0:armhf 0.7.7-3+b1
2020-05-08 14:28:23 status unpacked libcap-ng0:armhf 0.7.7-3+b1
2020-05-08 14:28:23 status unpacked libcap-ng0:armhf 0.7.7-3+b1
2020-05-08 14:28:23 install libgcrypt20:armhf <none> 1.7.6-2+deb9u3
2020-05-08 14:28:23 status half-installed libgcrypt20:armhf 1.7.6-2+deb9u3
2020-05-08 14:28:23 status unpacked libgcrypt20:armhf 1.7.6-2+deb9u3
2020-05-08 14:28:23 status unpacked libgcrypt20:armhf 1.7.6-2+deb9u3
2020-05-08 14:28:23 install libgpg-error0:armhf <none> 1.26-2
2020-05-08 14:28:23 status half-installed libgpg-error0:armhf 1.26-2
2020-05-08 14:28:24 status unpacked libgpg-error0:armhf 1.26-2
2020-05-08 14:28:24 status unpacked libgpg-error0:armhf 1.26-2
2020-05-08 14:28:24 install libselinux1:armhf <none> 2.6-3+b3
2020-05-08 14:28:24 status half-installed libselinux1:armhf 2.6-3+b3
2020-05-08 14:28:24 status unpacked libselinux1:armhf 2.6-3+b3
2020-05-08 14:28:24 status unpacked libselinux1:armhf 2.6-3+b3
2020-05-08 14:28:24 install libsemanage-common:all <none> 2.6-2
2020-05-08 14:28:24 status half-installed libsemanage-common:all 2.6-2
2020-05-08 14:28:24 status unpacked libsemanage-common:all 2.6-2
2020-05-08 14:28:24 status unpacked libsemanage-common:all 2.6-2
2020-05-08 14:28:24 install libsemanage1:armhf <none> 2.6-2
2020-05-08 14:28:24 status half-installed libsemanage1:armhf 2.6-2
2020-05-08 14:28:24 status unpacked libsemanage1:armhf 2.6-2
2020-05-08 14:28:24 status unpacked libsemanage1:armhf 2.6-2
2020-05-08 14:28:24 install libsepol1:armhf <none> 2.6-2
2020-05-08 14:28:24 status half-installed libsepol1:armhf 2.6-2
2020-05-08 14:28:25 status unpacked libsepol1:armhf 2.6-2
2020-05-08 14:28:25 status unpacked libsepol1:armhf 2.6-2
2020-05-08 14:28:25 install lsb-base:all <none> 9.20161125
2020-05-08 14:28:25 status half-installed lsb-base:all 9.20161125
2020-05-08 14:28:25 status unpacked lsb-base:all 9.20161125
2020-05-08 14:28:25 status unpacked lsb-base:all 9.20161125
2020-05-08 14:28:25 install liblz4-1:armhf <none> 0.0~r131-2+b1
2020-05-08 14:28:25 status half-installed liblz4-1:armhf 0.0~r131-2+b1
2020-05-08 14:28:25 status unpacked liblz4-1:armhf 0.0~r131-2+b1
2020-05-08 14:28:25 status unpacked liblz4-1:armhf 0.0~r131-2+b1
2020-05-08 14:28:25 upgrade mawk:armhf 1.3.3-17+b3 1.3.3-17+b3
2020-05-08 14:28:25 status half-configured mawk:armhf 1.3.3-17+b3
2020-05-08 14:28:25 status unpacked mawk:armhf 1.3.3-17+b3
2020-05-08 14:28:25 status half-installed mawk:armhf 1.3.3-17+b3
2020-05-08 14:28:25 status half-installed mawk:armhf 1.3.3-17+b3
2020-05-08 14:28:25 status unpacked mawk:armhf 1.3.3-17+b3
2020-05-08 14:28:25 status unpacked mawk:armhf 1.3.3-17+b3
2020-05-08 14:28:25 install libncursesw5:armhf <none> 6.0+20161126-1+deb9u2
2020-05-08 14:28:25 status half-installed libncursesw5:armhf 6.0+20161126-1+deb9u2
2020-05-08 14:28:25 status unpacked libncursesw5:armhf 6.0+20161126-1+deb9u2
